online_order,book_table,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),target
1,1,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,5,Banashankari,1
1,0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,5,Banashankari,1
1,0,Banashankari,other,"Cafe, Mexican, Italian",800,5,Banashankari,1
0,0,Banashankari,Quick Bites,"South Indian, North Indian",300,5,Banashankari,1
0,0,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,5,Banashankari,1
1,0,Basavanagudi,Casual Dining,North Indian,600,5,Banashankari,1
0,0,other,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,5,Banashankari,1
1,1,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,3,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Italian, Continental",700,3,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,3,Banashankari,1
1,0,Banashankari,Cafe,Cafe,500,3,Banashankari,1
1,1,Banashankari,Cafe,"Cafe, Italian, Continental",600,3,Banashankari,1
1,1,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,3,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Continental",450,3,Banashankari,1
1,0,Banashankari,other,"Cafe, Mexican, Italian",800,3,Banashankari,1
1,0,Banashankari,Cafe,Cafe,650,3,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,3,Banashankari,1
1,0,Banashankari,Cafe,"Chinese, Cafe, Italian",700,3,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Italian, American",300,3,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,3,Banashankari,0
1,0,Banashankari,Cafe,"Cafe, French, North Indian",400,3,Banashankari,0
1,0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,3,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Fast Food",900,3,Banashankari,1
1,0,Banashankari,other,"Italian, Fast Food, Cafe, European",600,3,Banashankari,1
0,0,Banashankari,Cafe,Cafe,300,3,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Bakery",600,3,Banashankari,0
1,0,Banashankari,other,"Cafe, South Indian",200,3,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,3,Banashankari,0
0,0,Banashankari,Cafe,"Cafe, Fast Food",550,3,Banashankari,0
0,0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,3,Banashankari,1
1,0,Basavanagudi,Cafe,"Cafe, Italian",600,3,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,0,Banashankari,0
1,0,Banashankari,Delivery,"Bakery, Desserts",500,0,Banashankari,1
1,0,Banashankari,Delivery,Pizza,750,0,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,0,Banashankari,1
1,0,Banashankari,Delivery,Biryani,650,0,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,0,Banashankari,0
1,0,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,0,Banashankari,1
1,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,0,Banashankari,1
0,0,Banashankari,Mess,South Indian,300,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Burger, Fast Food",500,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Pizza, Fast Food",800,0,Banashankari,1
1,1,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,0,Banashankari,1
0,0,Banashankari,Delivery,"North Indian, Continental, Italian",400,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese",300,0,Banashankari,1
1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,0,Banashankari,1
1,0,other,Casual Dining,"Chinese, Thai",850,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,0,Banashankari,0
0,0,Banashankari,Quick Bites,North Indian,450,0,Banashankari,1
1,0,other,Quick Bites,"Fast Food, Street Food, Beverages",150,0,Banashankari,1
0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,0,Banashankari,1
1,0,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Biryani, Fast Food",300,0,Banashankari,1
1,1,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Fast Food, Burger",200,0,Banashankari,1
1,0,Banashankari,Dessert Parlor,"Desserts, Beverages",400,0,Banashankari,1
0,0,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,0,Banashankari,1
1,1,other,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,Chinese,150,0,Banashankari,1
0,1,Banashankari,Casual Dining,"North Indian, Chinese",850,0,Banashankari,1
0,0,Banashankari,other,Bakery,150,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,0,Banashankari,1
1,0,Jayanagar,Quick Bites,South Indian,100,0,Banashankari,1
0,0,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,0,Banashankari,1
0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,0,Banashankari,0
1,0,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,0,Banashankari,1
0,0,Banashankari,Quick Bites,North Indian,150,0,Banashankari,0
0,0,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,0,Banashankari,1
0,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,South Indian,150,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Biryani, South Indian",300,0,Banashankari,1
0,0,Banashankari,Quick Bites,Fast Food,500,0,Banashankari,1
0,0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,0,Banashankari,1
1,0,other,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,0,Banashankari,1
1,0,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,0,Banashankari,1
0,0,Banashankari,Sweet Shop,"Mithai, Street Food",200,0,Banashankari,1
0,0,Banashankari,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
0,0,Banashankari,Quick Bites,"South Indian, Chinese",100,0,Banashankari,0
0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,0,Banashankari,1
0,0,Banashankari,Quick Bites,North Indian,200,0,Banashankari,1
0,0,Banashankari,Dessert Parlor,Desserts,500,0,Banashankari,1
0,0,Banashankari,Quick Bites,Biryani,250,0,Banashankari,1
0,0,Banashankari,Delivery,"Bakery, Desserts",500,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery",South Indian,400,0,Banashankari,0
0,0,Banashankari,Mess,South Indian,200,0,Banashankari,0
0,0,Banashankari,Dessert Parlor,Ice Cream,300,0,Banashankari,0
0,0,Banashankari,Casual Dining,North Indian,600,0,Banashankari,0
0,0,Banashankari,Bar,"South Indian, North Indian, Chinese",800,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Fast Food, Bakery",250,0,Banashankari,1
0,0,Banashankari,Casual Dining,"North Indian, Iranian",950,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Fast Food, Street Food",300,0,Banashankari,1
1,0,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,0,Banashankari,1
0,0,Banashankari,Quick Bites,South Indian,300,0,Banashankari,1
