,online_order,book_table,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),target
0,1,1,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,5,Banashankari,1
1,1,0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,5,Banashankari,1
2,1,0,Banashankari,other,"Cafe, Mexican, Italian",800,5,Banashankari,1
3,0,0,Banashankari,Quick Bites,"South Indian, North Indian",300,5,Banashankari,1
4,0,0,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,5,Banashankari,1
5,1,0,Basavanagudi,Casual Dining,North Indian,600,5,Banashankari,1
6,0,0,other,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,5,Banashankari,1
7,1,1,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,3,Banashankari,1
8,1,0,Banashankari,Cafe,"Cafe, Italian, Continental",700,3,Banashankari,1
9,1,0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,3,Banashankari,1
10,1,0,Banashankari,Cafe,Cafe,500,3,Banashankari,1
11,1,1,Banashankari,Cafe,"Cafe, Italian, Continental",600,3,Banashankari,1
12,1,1,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,3,Banashankari,1
13,0,0,Banashankari,Cafe,"Cafe, Continental",450,3,Banashankari,1
14,1,0,Banashankari,other,"Cafe, Mexican, Italian",800,3,Banashankari,1
15,1,0,Banashankari,Cafe,Cafe,650,3,Banashankari,1
16,1,0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,3,Banashankari,1
17,1,0,Banashankari,Cafe,"Chinese, Cafe, Italian",700,3,Banashankari,1
18,0,0,Banashankari,Cafe,"Cafe, Italian, American",300,3,Banashankari,1
19,1,0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,3,Banashankari,0
20,1,0,Banashankari,Cafe,"Cafe, French, North Indian",400,3,Banashankari,0
21,1,0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,3,Banashankari,1
22,0,0,Banashankari,Cafe,"Cafe, Fast Food",900,3,Banashankari,1
23,1,0,Banashankari,other,"Italian, Fast Food, Cafe, European",600,3,Banashankari,1
24,0,0,Banashankari,Cafe,Cafe,300,3,Banashankari,1
25,0,0,Banashankari,Cafe,"Cafe, Bakery",600,3,Banashankari,0
26,1,0,Banashankari,other,"Cafe, South Indian",200,3,Banashankari,1
27,0,0,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,3,Banashankari,0
28,0,0,Banashankari,Cafe,"Cafe, Fast Food",550,3,Banashankari,0
29,0,0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,3,Banashankari,1
30,1,0,Basavanagudi,Cafe,"Cafe, Italian",600,3,Banashankari,1
31,1,0,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,0,Banashankari,0
32,1,0,Banashankari,Delivery,"Bakery, Desserts",500,0,Banashankari,1
33,1,0,Banashankari,Delivery,Pizza,750,0,Banashankari,1
34,1,0,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,0,Banashankari,1
35,1,0,Banashankari,Delivery,Biryani,650,0,Banashankari,1
36,1,0,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,0,Banashankari,0
37,1,0,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,0,Banashankari,1
38,1,0,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,0,Banashankari,1
39,1,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,1
40,1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,0,Banashankari,1
41,0,0,Banashankari,Mess,South Indian,300,0,Banashankari,1
42,1,0,Banashankari,Quick Bites,"Burger, Fast Food",500,0,Banashankari,1
43,1,0,Banashankari,Quick Bites,"Pizza, Fast Food",800,0,Banashankari,1
